publish_date,publication,headline_text
20221105,cnn,Analysis: This Democratic leader just broke the first rule of politics
20221105,cnn,Kevin McCarthy previews Republicans' plans for the majority -- starting at the border
20221105,cnn,Fetterman sues to have mail-in ballots counted even if not signed with valid date
20221105,cnn,Analysis: Democrats confront their nightmare scenario on election eve
20221105,cnn,Georgia county extends deadline for roughly 100 voters who didn't receive absentee ballots after 'human error'
20221105,cnn,Opinion: The people who will decide this election
20221105,cnn,Chaos and confusion: As a window opens for legal abortion in Arizona providers ride emotional roller coaster alongside patients
20221105,cnn,Analysis: These scenarios could play out on election night
20221105,cnn,RNC chairwoman says Republicans will accept election results after letting 'the process play out'
20221105,cnn,Opinion: For many Americans this election is different. It's personal
20221105,cnn,Philadelphia election official said more than 300 mail-in ballots at risk of rejection 'creates a really unfair disenfranchisement'
20221105,cnn,Scores of pre-election lawsuits have already been filed in battleground states
20221105,cnn,Opinion: Democrats are out of touch with voters
20221105,cnn,Essay: I've been a football fan most of my life. But I can't watch anymore
20221105,cnn,Colts fire head coach name ex-player with no coaching experience as his interim replacement
20221105,cnn,'I never thought it would be Paul': Nancy Pelosi reveals how she first heard her husband had been attacked
20221105,cnn,Man who allegedly attacked Paul Pelosi waives court appearance future hearings set
20221105,cnn,Immigration officials say Pelosi attacker was in US illegally
20221105,cnn,Opinion: The attack on Paul Pelosi was not an isolated incident
20221105,cnn,NBC News pulls report on Paul Pelosi attack
20221105,cnn,Divers make a surprising discovery near the wreck of the Titanic
20221105,cnn,A University of Kentucky student was arrested after hurling racial slur at Black student on campus
20221105,cnn,Florida's east coast is under a hurricane watch as the state grapples with Hurricane Ian's devastation
20221105,cnn,How this school in the Indian desert stays cool even in extreme heat
20221105,cnn,A budding hurricane snow and record heat could impact voters on Tuesday
20221105,cnn,This has quickly become the key issue at COP27 -- and the most difficult to resolve
20221105,cnn,Former NBA champion is building a village with materials that quickly suck carbon out of the atmosphere
20221105,cnn,Kathy Griffin suspended from Twitter for impersonating Elon Musk
20221105,cnn,Full moon will turn an eerie red during the total lunar eclipse
20221105,cnn,US citizen recently died in Ukraine State Department says
20221105,cnn,US officials urge Ukraine to signal it is still open to diplomatic discussions with Russia
20221105,cnn,Russian forces step up raids on civilians in occupied Kherson as potential battle for city looms
20221105,cnn,'You can come home now:' Ukraine's recovery teams work to ensure no fallen soldiers are left behind
20221105,cnn,Recreational marijuana legalization is on the ballot in these states tomorrow
20221105,cnn,These states will have abortion on the ballot
20221105,cnn,Voters in five states have the chance to wipe slavery and indentured servitude off the books
20221105,cnn,Voters will have their say on expanding Medicaid raising the minimum wage and taxing the rich in some states
20221105,cnn,Russian oligarch Yevgeny Prigozhin appears to admit to US election interference
20221105,cnn,Inside the new business 'snuggle class' double beds
20221105,cnn,Rebel Wilson announces birth of her first child
20221105,cnn,The stylist behind Zendaya and Ariana Grande's buzzy red carpet looks
20221105,cnn,Meet the team behind CNN's famous 'Magic Wall'
20221105,cnn,Andy Taylor former Duran Duran guitarist has stage four prostate cancer
20221105,cnn,'The Masked Singer' reveals Walrus and Milkshake
20221105,cnn,The Iowa teen who killed her alleged rapist has escaped from custody
